"Id","AdviceUnitId","Name","Name_Length","Notes","Notes_Length","IsVisibleToClient","CreatedUTCDateTime","LastModifiedUTCDateTime","RiskLevelId","RiskLevelNotes","RiskLevelNotes_Length","RiskLevelLastModifiedUTCDateTime","RiskLevelBusinessProcessInstanceId","RiskLevelUpdatedByStaffId","SustainabilityLevelId","SustainabilityLevelNotes","SustainabilityLevelNotes_Length","SustainabilityLevelLastModifiedUTCDateTime","SustainabilityLevelBusinessProcessInstanceId","SustainabilityLevelUpdatedByStaffId","ObjectiveNotes","ObjectiveNotes_Length","ObjectiveLastModifiedUTCDateTime","ObjectiveBusinessProcessInstanceId","ObjectiveUpdatedByStaffId","MinimumThresholdAmount","MinimumThresholdCurrencyId","MinimumThresholdLastModifiedUTCDateTime","MinimumThresholdBusinessProcessInstanceId","MinimumThresholdUpdatedByStaffId"
"11f10c30-3bdd-4777-94ba-18a83b7e0f4f","181c3429-0e1f-4a45-95ca-1e2ee584e588","n/3Kzs5UCsknVQFTGsXuj3xtR38EqIp8H54G44EG5Zc=","14","NULL","NULL","False","2025-08-04T20:32:11","2025-08-04T20:32:11","7","KqVGbxi39Wa2G2Wvy19EYXpKeNHoJwFucQ+T3oKxq5Y=","44","2025-08-04T20:32:11","36fa3692-fffe-4723-a43d-2b2adf1cbd29","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","5","NULL","NULL","2025-08-04T20:32:11","36fa3692-fffe-4723-a43d-2b2adf1cbd29","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7fc122e8-fe70-467a-b01b-1cea3ad0f1d4","c0c5fc8d-330c-4f97-82f7-1e9edd65273e","RbKpZ2XesFPHQPOVX6DPtm8nkG1ygI4YMepLJf4JeK0=","31","NULL","NULL","False","2025-07-29T21:27:53","2025-08-04T23:12:39","5","lWGSeipUI29CeAZW3XirEHAt2MzFAazqNQYSjJoC6f0=","19","2025-08-04T23:12:39","NULL","f3ad97f3-e8ab-4428-90f6-88ce85a9e6ca","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ca41f30d-3054-4d8b-93d2-c0346473209b","88270c78-26f8-4292-b98b-213b83cbbea2","5pytMNHWvHTUsdeBIit1J2QbwoDSwrLPuRu+K9Ootjw=","46","NULL","NULL","False","2025-07-29T21:30:06","2025-08-04T23:15:11","6","NULL","NULL","2025-08-04T23:15:11","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"b32cd3f0-a70d-42c0-912e-d14c33696e0d","13918035-1f61-4c20-a2d6-31bed39893bf","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:01:52","2025-08-04T22:02:04","9","NULL","NULL","2025-08-04T22:02:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T22:02:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:02:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:02:04","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"ea754a77-9f03-4aa7-873a-0cf1979f60a5","c72cf2ba-04c4-4eaa-868e-4b4e6c14b2d2","+tnJCcyBGvw8KvXaHZWrFHr9V3U8fDK0HqTIBPvW8+8=","94","NULL","NULL","True","2025-08-04T22:20:00","2025-08-04T22:20:00","1","NULL","NULL","2025-08-04T22:20:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T22:20:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:20:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:20:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"3b3c96f2-26fe-4d96-adec-1ecd39d7aeb6","5432ff17-ba70-455f-8585-804f1eb17c48","Be7Uo37IBQcH3hh9V8byOfnpUrekmDsDx2D3Z8n0QBE=","9","NULL","NULL","False","2025-07-30T05:31:24","2025-08-04T06:30:48","5","YAJ8GSqYV263DeNdDOSnb5Y+E+soBynJ5J/Wi9wgHng=","31","2025-08-04T06:30:48","cad0ce9b-a695-4860-9fb1-6bdd51a196d9","8331d383-356e-4fae-abb2-4b16e7950d76","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"d7788c0a-2a74-4f18-93a1-280aa28b33f6","b7950da4-d27e-4a46-8442-818050a14d07","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:08:06","2025-08-04T22:08:06","2","NULL","NULL","2025-08-04T22:08:06","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","4","NULL","NULL","2025-08-04T22:08:06","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:08:06","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:08:06","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"38e3fea2-9bdc-47f0-99a4-ce192b736da5","641d09ed-9f8f-4398-ae8b-82f748fdfa23","DlqLKuCrTb8SuE2SL0vDqiAaHcFuWElf0FPok4Fe0GU=","46","NULL","NULL","True","2025-07-29T22:04:28","2025-08-04T22:52:48","7","NULL","NULL","2025-08-04T22:51:53","NULL","f9fb7609-b094-484f-a809-17d2de42944f","3","NULL","NULL","2025-08-04T22:51:53","NULL","f9fb7609-b094-484f-a809-17d2de42944f","SG/KTCbLxttq7P8pp+30ml5cKikXKwWKNxXgsj8HT7w=","24","2025-07-29T22:04:28","NULL","f9fb7609-b094-484f-a809-17d2de42944f","10.0000","1","2025-08-04T00:26:57","NULL","f9fb7609-b094-484f-a809-17d2de42944f"
"7cfe4122-e823-4b85-a407-056884876fc9","0613a5ca-9e4d-4224-9f3a-8317b71613e7","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T00:38:26","2025-08-04T00:38:26","3","NULL","NULL","2025-08-04T00:38:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","NULL","NULL","NULL","NULL","NULL","NULL","phSoeYmkp15Gewi1jOwbBqFIpeJ5uOhMLNFZF31DitM=","11","2025-08-04T00:38:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","1.0000","1","2025-08-04T00:38:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c"
"edab0ec9-803a-43c6-924d-ec9c364a5d24","50fd823d-1930-4c4f-b389-8675380f4b70","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:58:46","2025-08-04T22:58:46","9","NULL","NULL","2025-08-04T22:58:46","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","3","NULL","NULL","2025-08-04T22:58:46","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:58:46","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:58:46","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
